Species,ID,Mesocosm,Days_treatment,Temp.value,Temp.treatment,Fitness
Armadillidium vulgare,E25_1,E25,49,18,opt,1
Armadillidium vulgare,E26_1,E26,49,18,opt,1
Armadillidium vulgare,E27_1,E27,49,18,opt,0
Armadillidium vulgare,E29_1,E29,49,18,opt,1
Armadillidium vulgare,E30_1,E30,49,18,opt,1
Armadillidium vulgare,E31_1,E31,49,18,opt,1
Armadillidium vulgare,E32_1,E32,49,18,opt,1
Armadillidium vulgare,E33_1,E33,49,18,opt,0
Armadillidium vulgare,E34_1,E34,49,18,opt,1
Armadillidium vulgare,E35_1,E35,49,18,opt,0
Armadillidium vulgare,E36_1,E36,49,18,opt,1
Armadillidium vulgare,E37_1,E37,49,18,opt,0
Armadillidium vulgare,E38_1,E38,49,18,opt,1
Armadillidium vulgare,E39_1,E39,49,18,opt,1
Armadillidium vulgare,E40_1,E40,49,18,opt,1
Armadillidium vulgare,E41_1,E41,49,18,opt,1
Armadillidium vulgare,E42_1,E42,49,18,opt,0
Armadillidium vulgare,E43_1,E43,49,18,opt,0
Armadillidium vulgare,E44_1,E44,49,18,opt,0
Armadillidium vulgare,E46_1,E46,49,18,opt,1
Armadillidium vulgare,E47_1,E47,49,18,opt,0
Armadillidium vulgare,E48_1,E48,49,18,opt,1
Armadillidium vulgare,E25_2,E25,49,18,opt,1
Armadillidium vulgare,E26_2,E26,49,18,opt,1
Armadillidium vulgare,E27_2,E27,49,18,opt,0
Armadillidium vulgare,E29_2,E29,49,18,opt,1
Armadillidium vulgare,E30_2,E30,49,18,opt,1
Armadillidium vulgare,E32_2,E32,49,18,opt,1
Armadillidium vulgare,E33_2,E33,49,18,opt,1
Armadillidium vulgare,E34_2,E34,49,18,opt,1
Armadillidium vulgare,E36_2,E36,49,18,opt,0
Armadillidium vulgare,E37_2,E37,49,18,opt,1
Armadillidium vulgare,E38_2,E38,49,18,opt,1
Armadillidium vulgare,E40_2,E40,49,18,opt,1
Armadillidium vulgare,E41_2,E41,49,18,opt,1
Armadillidium vulgare,E43_2,E43,49,18,opt,0
Armadillidium vulgare,E44_2,E44,49,18,opt,1
Armadillidium vulgare,E46_2,E46,49,18,opt,1
Armadillidium vulgare,E47_2,E47,49,18,opt,0
Armadillidium vulgare,E48_2,E48,49,18,opt,1
Armadillidium vulgare,E25_3,E25,49,22,medium.high,1
Armadillidium vulgare,E26_3,E26,49,22,medium.high,0
Armadillidium vulgare,E27_3,E27,49,22,medium.high,1
Armadillidium vulgare,E29_3,E29,49,22,medium.high,0
Armadillidium vulgare,E30_3,E30,49,22,medium.high,1
Armadillidium vulgare,E31_3,E31,49,22,medium.high,1
Armadillidium vulgare,E32_3,E32,49,22,medium.high,0
Armadillidium vulgare,E33_3,E33,49,22,medium.high,1
Armadillidium vulgare,E34_3,E34,49,22,medium.high,1
Armadillidium vulgare,E35_3,E35,49,22,medium.high,0
Armadillidium vulgare,E36_3,E36,49,22,medium.high,0
Armadillidium vulgare,E37_3,E37,49,22,medium.high,0
Armadillidium vulgare,E38_3,E38,49,22,medium.high,0
Armadillidium vulgare,E39_3,E39,49,22,medium.high,0
Armadillidium vulgare,E40_3,E40,49,22,medium.high,1
Armadillidium vulgare,E41_3,E41,49,22,medium.high,0
Armadillidium vulgare,E42_3,E42,49,22,medium.high,1
Armadillidium vulgare,E43_3,E43,49,22,medium.high,0
Armadillidium vulgare,E44_3,E44,49,22,medium.high,0
Armadillidium vulgare,E46_3,E46,49,22,medium.high,1
Armadillidium vulgare,E47_3,E47,49,22,medium.high,0
Armadillidium vulgare,E48_3,E48,49,22,medium.high,0
Armadillidium vulgare,E25_4,E25,49,22,medium.high,1
Armadillidium vulgare,E26_4,E26,49,22,medium.high,1
Armadillidium vulgare,E27_4,E27,49,22,medium.high,1
Armadillidium vulgare,E29_4,E29,49,22,medium.high,1
Armadillidium vulgare,E30_4,E30,49,22,medium.high,1
Armadillidium vulgare,E32_4,E32,49,22,medium.high,1
Armadillidium vulgare,E33_4,E33,49,22,medium.high,1
Armadillidium vulgare,E34_4,E34,49,22,medium.high,1
Armadillidium vulgare,E36_4,E36,49,22,medium.high,1
Armadillidium vulgare,E37_4,E37,49,22,medium.high,1
Armadillidium vulgare,E38_4,E38,49,22,medium.high,1
Armadillidium vulgare,E40_4,E40,49,22,medium.high,0
Armadillidium vulgare,E41_4,E41,49,22,medium.high,1
Armadillidium vulgare,E43_4,E43,49,22,medium.high,1
Armadillidium vulgare,E44_4,E44,49,22,medium.high,0
Armadillidium vulgare,E46_4,E46,49,22,medium.high,1
Armadillidium vulgare,E47_4,E47,49,22,medium.high,1
Armadillidium vulgare,E48_4,E48,49,22,medium.high,1
Armadillidium vulgare,E25_5,E25,49,26,high,0
Armadillidium vulgare,E26_5,E26,49,26,high,0
Armadillidium vulgare,E27_5,E27,49,26,high,0
Armadillidium vulgare,E29_5,E29,49,26,high,0
Armadillidium vulgare,E30_5,E30,49,26,high,1
Armadillidium vulgare,E31_5,E31,49,26,high,0
Armadillidium vulgare,E32_5,E32,49,26,high,0
Armadillidium vulgare,E33_5,E33,49,26,high,0
Armadillidium vulgare,E34_5,E34,49,26,high,1
Armadillidium vulgare,E35_5,E35,49,26,high,1
Armadillidium vulgare,E36_5,E36,49,26,high,0
Armadillidium vulgare,E37_5,E37,49,26,high,1
Armadillidium vulgare,E38_5,E38,49,26,high,0
Armadillidium vulgare,E39_5,E39,49,26,high,1
Armadillidium vulgare,E40_5,E40,49,26,high,0
Armadillidium vulgare,E41_5,E41,49,26,high,0
Armadillidium vulgare,E42_5,E42,49,26,high,0
Armadillidium vulgare,E43_5,E43,49,26,high,1
Armadillidium vulgare,E44_5,E44,49,26,high,0
Armadillidium vulgare,E46_5,E46,49,26,high,1
Armadillidium vulgare,E47_5,E47,49,26,high,1
Armadillidium vulgare,E48_5,E48,49,26,high,0
Armadillidium vulgare,E25_6,E25,49,26,high,1
Armadillidium vulgare,E26_6,E26,49,26,high,0
Armadillidium vulgare,E27_6,E27,49,26,high,0
Armadillidium vulgare,E29_6,E29,49,26,high,1
Armadillidium vulgare,E30_6,E30,49,26,high,0
Armadillidium vulgare,E32_6,E32,49,26,high,1
Armadillidium vulgare,E33_6,E33,49,26,high,0
Armadillidium vulgare,E34_6,E34,49,26,high,1
Armadillidium vulgare,E36_6,E36,49,26,high,0
Armadillidium vulgare,E37_6,E37,49,26,high,1
Armadillidium vulgare,E38_6,E38,49,26,high,0
Armadillidium vulgare,E40_6,E40,49,26,high,1
Armadillidium vulgare,E41_6,E41,49,26,high,1
Armadillidium vulgare,E43_6,E43,49,26,high,0
Armadillidium vulgare,E44_6,E44,49,26,high,0
Armadillidium vulgare,E46_6,E46,49,26,high,0
Armadillidium vulgare,E47_6,E47,49,26,high,0
Armadillidium vulgare,E48_6,E48,49,26,high,0
